name,naver_tag,my_tag
BNHR,"['심플한', '감각적인', '카페', '인테리어소품', '떡집', '밀크티', '디저트', '핫플레이스', '깔끔한내부', '나들이']","['밀크티', '친구', '카페', '벤허', 'bnhr', '커피', '사평', '분위기', '동반', '계단', '떡국', '플랫화이트']"
DOTS,"['친절하고', '고급진', '이국적', '분위기좋은', '세련된', '누들', '레스토랑', '돈가스', '김치볶음밥', '브런치', '핫플레이스', '재방문', '데이트', '나들이', '퓨전중식']","['다츠', '닷츠', '예약', '레스토랑', '한남', '점심', '분위기', '아시안', '아시아', '브런치', '카페', '가츠', '인기', '웨이팅', '카츠', '산도', '퀴진']"
곱창도선생,[],"['곱창', '소곱창', '한우', '친구', '술집', '분위기', '창집', '모듬', '당일', '한판', '데이트', '곱창전골']"
꿀밤,[],"['포차', '웹툰', '드라마', '술집', '박서준', '라운지', '단밤', '혼술', '광진', '평일', '원작', '클럽', '바스타', '핫플레이스', '분위기', '칵테일', '작가', '친구']"
끗집,[],"['숙성회', '연어', '친구', '횟집', '웨이팅', '주말', '예약', '두툼', '술집', '광어', '숙성', '보고', '방어']"
나리의집,"['친절함', '소박한', '친절한', '편안한', '청국장', '순두부', '야식', '고기집', '삼겹살', '나들이', '싱싱한', '데이트', '자극적인', '점심특선']","['냉삼', '냉동삼겹살', '저녁', '삼겹', '삼겹살', '일요일', '주말', '수요미식회', '웨이팅', '대기', '냉동']"
다운타우너,"['느낌있는', '이국적', '친절하고', '심플한', '감각적인', '햄버거', 'tv방영', '수제버거', '바질', '치킨', '핫플레이스', '신선한', '데이트', '재방문', '나들이']","['햄버거', '수제버거', '한남', '버거', '아보카도', '더블', '수요미식회', '저녁', '시간', '아하', '웨이팅']"
다츠,"['친절하고', '고급진', '이국적', '분위기좋은', '세련된', '누들', '레스토랑', '돈가스', '김치볶음밥', '브런치', '핫플레이스', '재방문', '데이트', '나들이', '퓨전중식']","['닷츠', '예약', '레스토랑', '한남', '점심', '아시아', '분위기', '아시안', '브런치', '카페', '가츠', '인기', '웨이팅', '카츠', '산도', '퀴진']"
더방갈로,"['이색적인분위기', '분위기있는', '이국적', '분위기좋은', '몽환적인', '칵테일', '술집', '라운지바', '칵테일바', '펍', '나들이', '재방문', '데이트', '힐링', '핫플레이스']","['친구', '데이트', '칵테일', '할로윈', '불금', '라운지', '분위기', '술집', '핫플레이스', '모래', '파티', '이색', '분장']"
더버뮤다,"['분위기깡패', '분위기있는', '이국적', '분위기좋은', '프라이빗', '레스토랑', '스테이크', '샌드위치', '칵테일바', '브런치', '나들이', '재방문', '데이트', '오픈키친', '핫플레이스']","['파스타', '데이트', '친구', '분위기', '쿠바', '브런치', '술집', '모임', '칵테일', '사평', '명란', '스테이크']"
더테이블키친,[],"['스테이크', '뇨끼', '생일', '파스타', '크리스마스', '분위기', '예약', '동반', '한강진', '주말', '인생']"
라운드어바웃,"['아늑한', '깔끔한분위기', '아담한', '소박한', '깔끔한인테리어', '가정식', '일식', '돈가스', '카레', '명란', '나들이', '재방문', '데이트', '신선한', '핫플레이스']","['우동', '친구', '생면', '카레', '한강진', '주말', '한남', '카페', '일본', '가정식', '데이트']"
라이너스바베큐,"['분위기있는', '이국적', '분위기좋은', '캐쥬얼한', '아메리칸스타일', '햄버거', '수제버거', '수제맥주', '튀김', '샌드위치', '핫플레이스', '재방문', '데이트', '힐링', '나들이']","['바베큐', '바비큐', '플래터', '브리', '시간', '주말', '고기', '존맛', '버거', '미국', '인용', '대기', '풀드', '스킷', '포크']"
라페름,"['친절한', '수다떨기좋은', '분위기좋은', '편안한', '심플한', '레스토랑', '주스', '건강식', '리조또', '브런치', '핫플레이스', '데이트', '힐링', '다이어트맛집', '나들이']","['연어', '샐러드', '친구', '스테이크', '한강진', '건강', '브런치', '주말', '건강식', '한남', '다이어트', '아보카도', '푸드', '카페', '슈퍼', '치킨']"
랑만,"['빈티지한', '낭만적인', '이국적', '분위기좋은', '엔틱한', '쌀국수', '레스토랑', '주스', '태국음식', '베트남요리', '핫플레이스', '신선한', '데이트', '숨겨진', '오픈키친']","['쌀국수', '반쎄오', '데이트', '친구', '베트남', '퀴논', '분위기', '와인', '시간', '골목', '생면']"
로우앤슬로우,[],"['바베큐', '스테이크', '생일', '스파이크', '고기', '솔직', '영하', '웨이팅', '시간', '텍사스', '대기', '어마']"
루틴,"['아늑한', '아담한', '분위기있는', '분위기좋은', '이국적', '와인바', '레스토랑', '파스타', '프랑스가정식', '뿔레', '핫플레이스', '신선한', '데이트', '코스요리', '나들이']","['데이트', '한강진', '가정식', '저녁', '프랑스', '프렌치', '비스트', '코스', '분위기', '레스토랑', '시간', '스퀘어', '블루']"
루프탑야스,"['러블리한', '고급진', '분위기있는', '분위기좋은', '프라이빗', '레스토랑', '피자', '리조또', '파스타', '브런치', '기념일', '핫플레이스', '데이트', '특별한날', '나들이']","['피자', '생일', '친구', '파스타', '데이트', '특별', '인테리어', '파티', '레스토랑', '분위기', '연말', '브런치', '예약', '사진', '모임', '이름']"
마렘마,"['화려한', '아담한', '분위기좋은', '편안한', '트렌디한', '레스토랑', '바질', '파스타', '리조또', '스테이크', '핫플레이스', '재방문', '데이트', '신선한', '홈메이드']","['친구', '파스타', '스테이크', '셰프', '예약', '한강진', '레스토랑', '리조또', '저녁', '토리아', '분위기', '김지운', '이탈리안', '쿠촐', '쉐프', '밀크', '생일', '피자', '아란치니']"
매덕스피자,"['아담한', '이국적', '분위기좋은', '편안한', '아메리칸스타일', '피맥', '피자', '미트볼', '피자집', '조각피자', '나들이', '재방문', '데이트', '자극적인', '핫플레이스']","['피자', '친구', '피맥', '맥앤치즈', '시간', '미국', '조각', '분위기', '백종원', '웨이팅', '3대천왕']"
맥심플랜트,[],"['카페', '친구', '커피', '스토어', '한강진', '주말', '카누', '공간', '노트북', '시간', '위트', '라이터', '라떼', '팝업', '데이트']"
모어댄레스,"['편안한', '분위기좋은', '감각적인', '유니크한', '심플한', '카페', '인테리어소품', '스콘', '케이크', '핫플레이스', '재방문', '데이트', '요즘대세', '나들이']","['친구', '카페', '커피', '편집', '한남', '보난자', '한강진', '정원', '독일', '시간', '인스타그램', '베를린', '분위기', '사진전']"
모터시티,"['친절한', '이국적', '분위기좋은', '심플한', '세련된', 'tv방영', '피맥', '피자', '수박맥주', '파스타', '나들이', '재방문', '데이트', '자극적인', '핫플레이스']","['피자', '피맥', '수요미식회', '보고', '잭슨', '디트로이트', '사평', '분위기', '웨이팅', '스타일', '친구']"
바토스,"['빈티지한', '이국적', '분위기좋은', '시끌시끌한', '편안한', '치킨', '퀘사디아', '펍', '수박맥주', '멕시코음식', '핫플레이스', '신선한', '데이트', '퓨전요리', '나들이']","['타코', '멕시칸', '분위기', '예약', '레스토랑', '맥주', '멕시코', '수요미식회', '주말', '요리', '웨이팅', '저녁', '쉬림프']"
빠르크,"['깔끔한인테리어', '모던한', '분위기좋은', '편안한', '감각적인', '미술관', '레스토랑', '한식당', '가정식', '백반집', '나들이', '퓨전한식', '데이트', '자극적인', '신선한']","['친구', '한식', '파르크', '약속', '저녁', '한정식', '밥집', '한강진', '한식집', '가정식', '리움', '점심', '집밥', '골목', '샐러드']"
삐삣버거,[],"['수제버거', '감자튀김', '햄버거', '한강진', '뮤지컬', '패티', '감튀', '칠리']"
센시티브서울,[],"['피자', '파스타', '친구', '데이트', '한강진', '카페', '주말', '예약', '분위기', '레스토랑']"
써머레인,"['디저트', '샹그리아', '와플', '케이크', '브런치', '나들이']","['브런치', '친구', '호주', '주말', '카페', '아침', '동반', '썸머', '애견']"
앤트러사이트,"['아늑한', '빈티지한', '모던한', '분위기있는', '분위기좋은', '카페', '로스팅', '디저트', '케이크', '커피공장', '핫플레이스', '신선한', '데이트', '휴식', '나들이']","['카페', '커피', '한남', '라떼', '분위기', '느낌', '건물', '엔트러', '아메리카노', '친구']"
오아시스,"['따뜻한느낌', '이국적', '친절한', '심플한', '치킨', '오믈렛', '케이크', '샌드위치', '브런치', '핫플레이스', '나들이']","['파스타', '에그베네딕트', '한남', '카페', '아침', '주말', '브런치', '분위기', '사진', '레스토랑', '청담', '시간', '일요일']"
원인어밀리언,"['아늑한', '분위기깡패', '분위기좋은', '감각적인', '러블리한', '카페', '브라우니', '티라미수', '디저트', '케이크', '핫플레이스', '비오는날', '데이트', '힐링', '나들이']","['핑크', '카페', '한강진', '커피', '분위기', '인스타', '핫플레이스', '디저트', '사진', '동반', '애견', '친구', '데이트', '파스타']"
은마양대창,[],"['곱창', '대창', '양대창', '친구', '덮밥', '곱창전골', '시간', '웨이팅', '구이', '핫플레이스', '한강진', '이태원로', '양념', '데이트']"
이타인,[],"['뇨끼', '파스타', '친구', '레스토랑', '이탈리안', '이탈리아', '평일', '예약', '호텔', '분위기', '주말', '모임', '동기', '튀김', '바질페스토']"
이태원곱,[],"['곱창', '소곱창', '회식', '데이트', '가성비', '단체', '살얼음', '모듬', '창집', '친구', '생맥주']"
이태원우육미엔,"['느낌있는', '이국적', '신비로운', '심플한', '세련된', '중국집', '꿔바로우', '덮밥', '고량주', '일본라면', '나들이', '재방문', '데이트', '오픈키친', '새로운맛집']","['우육미엔', '우육면', '친구', '피자', '한강진', '미슐랭', '대만', '골목', '미쉐린', '요리', '점심', '만두']"
장미쌀롱,[],"['친구', '파스타', '데이트', '와인', '피자', '술집', '분위기', '비노', '친친', '테라스', '주말', '저렴', '가성비', '한잔', '안주', '생일']"
재재식당,[],"['돈까스', '데이트', '친구', '골목', '돈가스', '카레', '안심', '등심', '시금치', '주말', '저녁']"
쟈니덤플링,"['아담한', '이국적', '분위기좋은', '심플한', '깨끗한', '만두', '군만두', '만두국', '딤섬', '새우만두', '나들이', '재방문', '데이트', '숨어있는', '핫플레이스']","['군만두', '만두', '친구', '마파두부', '물만두', '시간', '중국', '수요미식회', '덤블링', '반달', '새우']"
저스틴스테이크,"['빈티지한', '유럽풍', '분위기있는', '분위기좋은', '고급스러운', '크림파스타', '레스토랑', '브런치', '미트볼', '스테이크', '연말모임', '나들이', '신선한', '데이트', '핫플레이스']","['스테이크', '파스타', '데이트', '친구', '촬영', '다른', '드라마', '가성비', '레스토랑', '분위기', '존맛', '주말', '한우']"
키에리,"['아늑한', '작은공간', '아기자기', '친절한', '따뜻한분위기', '카페', 'tv방영', '스콘', '디저트', '케이크', '홈메이드', '데이트', '자극적인', '유기농', '나들이']","['치즈케이크', '무화과', '친구', '케이크', '카페', '디저트', '건강', '케익', '스콘', '수요미식회', '아하', '사용', '시간', '버터', '보고', '베이커리', '말차', '비건', '고르곤졸라']"
타파스바,"['편안한분위기', '분위기있는', '이국적', '분위기좋은', '친절해서', '피자', '술집', '샹그리아', '스페인요리', '펍', '나들이', '재방문', '데이트', '착한가격', '핫플레이스']","['타파스', '빠에야', '샹그리아', '친구', '감바스', '스페인', '칵테일', '술집', '분위기', '요리', '상그리아']"
탄탈라이즈,"['감각적인', '심플한', '카페', '브라우니', '스콘', '디저트', '케이크', '사진찍기']","['플랫화이트', '친구', '베이커리', '카페', '커피', '분위기', '디저트', '스콘', '감성', '사진', '자리']"
텅앤그루브조인트,"['분위기깡패', '고급진', '분위기좋은', '프라이빗', '세련된', '한우', '김치찌개', '고기집', '양고기', '삼겹살', '핫플레이스', '신선한', '데이트', '오픈키친', '나들이']","['한우', '회식', '양고기', '데이트', '고기', '주말', '모임', '가이드', '소고기', '미슐랭', '단골집', '연속', '코스', '베스트', '미쉐린', '숙성', '분위기', '소개팅', '생일', '양갈비']"
테이프,[],"['우주', '카페', '루프', '케이크', '분위기', '사진', '주말', '영롱', '인스타', '주문', '조각', '디저트', '친구']"
트로이카,"['아늑한', '이국적', '친절한', '따듯한분위기', '아기자기', '만두', '레스토랑', '가정식', '보드카', '양고기', '나들이', '이색적인음식', '데이트', '색다른음식', '재방문']","['만두', '친구', '러시아', '여행', '요리', '선수', '다양', '이색', '세계', '분위기', '한국']"
파르크,"['깔끔한인테리어', '모던한', '분위기좋은', '편안한', '감각적인', '미술관', '레스토랑', '한식당', '가정식', '백반집', '나들이', '퓨전한식', '데이트', '자극적인', '신선한']","['친구', '한식', '용산', '밥집', '한정식', '약속', '저녁', '한식집', '가정식', '리움', '한강진', '점심', '집밥', '골목', '샐러드']"
파이프,"['트렌디한', '분위기있는', '분위기좋은', '심플한', '수다떨기좋은', '플리마켓', '피맥', '피자', '맥주집', '생맥주', '핫플레이스', '자극적인', '데이트', '힐링', '나들이']","['피자', '피맥', '감자튀김', '감튀', '시간', '페퍼로니', '포테이토', '맥주', '웨이팅', '치즈', '마감', '지하', '토요일', '평일']"
패션5,"['고급진', '재미있는', '분위기좋은', '아기자기', '세련된', '타르트', '마카롱', '디저트카페', '케이크', '빵집', '핫플레이스', '데이트', '화이트데이', '특별한날', '나들이']","['베이커리', '생일', '카페', '데이트', '케이크', '파이브', '건물', '딸기', '케익', '디저트', '주차', '천국', '시간', '젤라또']"
프로스트,"['빈티지한', '분위기있는', '이국적', '분위기좋은', '고급스러운', '술집', '라운지바', '펍', '칵테일', '샹그리아', '핫플레이스', '데이트', '요즘대세', '특별한날', '나들이']","['친구', '분위기', '파티', '핫플레이스', '맥주', '라운지', '할로윈', '술집', '칵테일', '연말', '헌팅', '글램', '크리스마스', '거리', '저녁']"
할랄가이즈,"['재미있는', '고급진', '이국적', '친절하고', '깨끗한', '치킨', '길거리음식', '중동음식', '샌드위치', '양고기', '나들이', '신선한', '데이트', '재방문', '핫플레이스']","['케밥', '플래터', '친구', '뉴욕', '저렴', '점심', '미국', '여행', '푸드', '한국', '트럭']"
